arg,tittle,genres,argumento
616,"Aristocats, el (1970)",Animación | Niños,"Con la ayuda de un Tomcat que habla suave, una familia de felinos parisinos que se estableció para heredar una fortuna de su dueño, intente regresar a casa después de que un butler celoso los secuestre y los deja en el país."
617,"Flor de mi secreto, el (La Flor de MI Secreto) (1995)",Comedia | drama,"Leo escribe novelas de romance de mala calidad bajo un seudónimo, pero mientras lucha en su relación con su esposo, encuentra su producción cada vez más oscura."
618,Dos mucho (1995),Comedia | romance,"Una joven galería está enamorada de dos hermanas al mismo tiempo. Para resolver el problema, decide inventar a su propio hermano gemelo."
619,Ed (1996),Comedia,Un chimpancé entrenado juega la tercera base para un equipo de béisbol de ligas menores.
626,"Línea delgada entre amor y odio, a (1996)",Comedia,Las formas de un mujer de la mujer atrapan con él cuando persigue a Brandi.
627,"Última cena, la (1995)",Drama | Suspenso,"Un grupo de idealistas, pero frustrados, los liberales sucumben a la tentación de asesinar a los expertos de rightwing por sus creencias políticas."
628,Miedo primordial (1996),Crimen | drama | misterio | thriller,"Un niño de altar es acusado de asesinar a un sacerdote, y la verdad está enterrada en varias capas profundas."
631,Todos los perros van al cielo 2 (1996),Aventura | Animación | Niños | Fantasía | Musical | Romance,"Charlie y la picazón regresan a la Tierra para encontrar el cuerno de Gabriel, pero en el camino se reúnen con un niño llamado David, quien se escapó de casa."
632,Tierra y libertad (Tierra y Libertad) (1995),Drama | guerra,David es un comunista desempleado que viene a España en 1937 durante la Guerra Civil para inscribir a los republicanos y defender la democracia contra los fascistas. Él hace amigos entre los soldados.
633,Denise llamadas (1995),Comedia,"Un grupo de amigos en Nueva York, trabajando en sus PC y computadoras portátiles, manténgase en contacto exclusivamente por teléfono y fax. Están demasiado ocupados para encontrarse cara a cara. Gale juega Matchmaker, por ..."
634,Theodore Rex (1995),Comedia,"En una sociedad futurista alternativa, un Detective de la policía femenino duro se combina con un dinosaurio que habla para encontrar al asesino de dinosaurios y otros animales prehistóricos que los llevan a un científico loco inclinado para crear un nuevo Armageddon."
635,"Familia, A (1996)",Comedia | drama,"Earl Pilcher, Jr., corre un equipo de alquiler de equipos en Arkansas, vive con su esposa e hijos y padres, y rara vez se quita su gorra de gimme. Su madre muere, dejando una carta explicando ..."
636,FRISK (1995),Drama,"Una narrativa en primera persona de las hazañas de un asesino en serie gay en un drama profundamente perturbador, controvertido sobre la violencia, la sexualidad y la imaginación. Dennis, el personaje principal, cuyo ..."
637,Sgt. Bilko (1996),Comedia,"Sgt. Bilko es un conman a cargo de la piscina del motor de la base del ejército, desarrollando un tanque de flores y un poco de juego, etc. Un hombre odia a Bilko y viene a inspeccionar la base para el posible cierre."
638,Jack y Sarah (1995),Romance,Una joven americana se convierte en una niñera en la casa de un reciente viudo británico.
639,Chica 6 (1996),Comedia | drama,Una aspirante a la actriz decepcionada por su tratamiento en la industria del cine se convierte en sexo telefónico para ganarse la vida.
640,Diabolique (1996),Drama | Suspenso,La esposa y la amante del decano sádico de una escuela de preparación exclusiva conspiran para asesinarlo.
645,Nelly & Monsieur Arnaud (1995),Drama,"Cuando Nelly, una mujer que se está divorciente, se reúne por casualidad, M. Arnaud, un vendedor maduro acaba de retirarse, comienza una relación extraña y especial entre las dos personalidades."
647,Coraje bajo fuego (1996),Acción | crimen | drama | guerra,"Un oficial del ejército de los Estados Unidos, abatido por un error mortal que hizo, investiga la dignidad de una hembra del comandante del helicóptero para la medalla de honor."
648,Misión: imposible (1996),Acción | Aventura | Misterio | Thriller,"Un agente estadounidense, bajo la falsa sospecha de deslealtad, debe descubrir y exponer el verdadero espía sin la ayuda de su organización."
649,Fiebre fría (Ã Kölldum Klaka) (1995),Comedia | drama,Un hombre de negocios japonés viaja a Islandia y tiene una serie de desventuras mientras se aventura a un área remota para realizar un ritual de entierro tradicional donde sus padres murieron varios años atrás.
650,MOLL FLANDERS (1996),Drama,"La hija de un ladrón, Joven Moll se coloca al cuidado de un monje después de la ejecución de su madre. Sin embargo, las acciones de un sacerdote abusivo llevan a MOLL para rebelarse como adolescente, ..."
653,Dragonheart (1996),Acción | aventura | fantasía,"El último dragón y un caballero de dragón desilusionado deben cooperar para detener a un rey malvado, a quien recibió inmortalidad parcial."
656,Eddie (1996),Comedia,"Las coincidencias llevan a los Knicks de Nueva York, obteniendo su fanático más fuerte, Edwina ""Eddie"" Franklin (Whoopi Goldberg), como entrenador. Victoria de la temporada?"
661,James y el durazno gigante (1996),Aventura | Animación | Niños | Fantasía | Musical,"Un huérfano que vive con sus dos tías crueles se hace amigo de los insectos antropomorfos que viven dentro de un durazno gigante, y se embarcan en un viaje a la ciudad de Nueva York."
662,Miedo (1996),Novela de suspenso,Cuando Nicole conoció a David
663,Niños en el pasillo: Cabello Candy (1996),Comedia,"Un científico farmacéutico crea una pastilla que hace que las personas recuerden su memoria más feliz, y aunque es exitosa, tiene efectos secundarios desafortunados."
665,Subterráneo (1995),Comedia | drama | guerra,"Un grupo de socialistas serbios se prepara para la guerra en un metro surrealista lleno de fiestas, tragedias, amor y odio."
667,Bloodsport 2 (a.k.a. Bloodsport II: el siguiente kumite) (1996),Acción,"Un talentoso luchador callejero termina en un campo de prisión tortuoso, donde se encuentra con el sol, que le enseña la humildad, la autoestima y la disciplina luchadora más mortal: la mano de hierro. Él promete sol sobre su liberación, luchará en el Kumite."
668,Canción de la pequeña carretera (Pather Panchali) (1955),Drama,"El sacerdote empobrecido Harihar Ray, soñando con una mejor vida para él y su familia, deja su aldea rural de Bengala en busca de trabajo."
670,"World of Apu, The (Apur Sansar) (1959)",Drama,Esta cuota final en la trilogía APU de Satyajit Ray sigue la vida de APU como un adulto huérfano que aspira a ser escritor.
671,Mystery Science Theatre 3000: The Movie (1996),Comedia | ciencia ficción,Mike Nelson y sus compañeros de robot observan y dan sus comentarios sobre Regeso A La Tierra (1955).
673,Atasco espacial (1996),Aventura | Animación | Niños | Comedia | Fantasía | Ciencia ficción,"En un intento desesperado de ganar un partido de baloncesto y ganar su libertad, las melodías Looney buscan la ayuda del campeón de baloncesto retirado, Michael Jordan."
674,Barbarella (1968),Aventura | comedia | ciencia ficción,"Barbarella, un astronauta del siglo 41, se propone encontrar y detener al científico malvado Durand Durand, cuyo rayo positrónico amenaza con traer el mal en la galaxia."
678,Algunas personas lo llaman una cuchilla de honda (1993),Drama | Suspenso,"Veinticinco años después de cometer un doble asesinato, Karl Childers será liberado de una institución para los locos penales. Un reportero local viene a hablar con él, y después de algunos ..."
679,"Ejecución del país, el (1995)",Drama,"En un pequeño pueblo en la frontera de Irlanda del Norte y la República de Irlanda, la relación entre un breve policía templado y su hijo rebelde se vuelven aún más agotadores cuando el joven cae para una niña ""incorrecta""."
680,"Alphaville (Alphaville, Une Ã © PRECAUCIÓN AVENTURE DE LEMMY) (1965)",Drama | Misterio | Romance | Sci-Fi | Thriller,"Un agente secreto de Estados Unidos se envía a la ciudad espacial lejana de Alphaville, donde debe encontrar a una persona desaparecida y liberar a la ciudad desde su regla tiránica."
685,Es mi fiesta (1996),Drama,"Nick ""Eric Roberts"", se acerca al final de una batalla de 3 años con el SIDA y hace arreglos para morir. Él organiza una fiesta para despedirse de amigos y familiares. Su ex compañero, Brandon ""Gregory Harrison"", asiste y las cosas se complican."
688,Operación Dumbo Drop (1995),Acción | aventura | comedia | guerra,"Para mantener la lealtad de un pueblo durante la guerra de Vietnam, un oficial del ejército de los Estados Unidos y su unidad de lucha para brindarle un elefante vivo."
691,Sra. Winterbourne (1996),Comedia | romance,"Connie, Boed y embarazada, se dirige a Boston en tren cuando conoce a los recién casados, Hugh y Patricia. El tren se estrella, y cuando Connie llega a en el hospital, está equivocada a Patricia, quien murió en el accidente con Hugh."
692,Solo (1996),Acción | Ciencia ficción | Thriller,Mario Van Peebles Estrellas como un arma que mata a Android diseñada por los militares y utilizada para entrar en una guerra latinoamericana para destruir a los rebeldes: los nativos luchan simplemente para mantener ...
694,"Sustituto, el (1996)",Acción | crimen | drama,El equipo de Mercenario Shale está retirado después de una misión de (no es así) en Cuba. Se convierte en profesor sustituto en la escuela secundaria de Miami de su maestra para lograr que los detrás de ella. Su equipo lo ayuda.
695,Crimen verdadero (1996),Misterio | Suspenso,"María, una precociosa escuela secundaria mayor, anhela ser un policía. Cuando un compañero de clase muere y el caso permanece sin resolver, María se obsesiona y se involucra en la investigación."
697,Sentir Minnesota (1996),Drama | Romance,"Un ex convicto y su extravagante, hermano, lucha por la misma mujer."
698,Delta de Venus (1995),Drama,"Un escritor estadounidense luchador (Inglaterra) y un compañero expatriado estadounidense (Mandylor) comienza un asunto sórdido entre el caos y la discordia de 1940 París, Francia al borde de la Segunda Guerra Mundial."
700,Angus (1995),Comedia,"Un adolescente gordo miserable en contra de la belleza de la clase, termina convirtiéndose en el sorprendente participante para bailar con ella en una danza de la escuela secundaria, lo que significa que tiene que tener su acto junto con la ayuda de su mejor amigo."
703,Boys (1996),Drama,"Patty Vare se cae de un caballo y se encuentra inconsciente por la estudiante de la escuela preparatoria John Baker. Él la lleva a su dormitorio. Como descubre rápidamente, ella se esconde de algo. Para ..."
704,"Quest, The (1996)",Acción | aventura,"Un grupo de caballeros de Fortune visita una ""ciudad perdida"" legendaria, ubicada en el Tíbet. Planean robar una estatua sin valor ""Dragón de oro"" durante el torneo de artes marciales."
706,Sunset Park (1996),Drama,"Una maestra de escuela blanca se hace cargo de un equipo de baloncesto de secundaria negro, pero indisciplinado, y los convierte en un equipo ganador."
707,Mulholland Falls (1996),Crimen drama suspenso,"En Los Ángeles de la década de 1950, un escuadrón de crimen especial de la LAPD investiga el asesinato de una mujer joven."
708,"Verdad sobre Cats & Dogs, The (1996)",Comedia | romance,Un exitoso anfitrión de veterinaria y radio de radio con baja autoestima le pide a su amiga modelo que le haga su impersonidad cuando un hombre guapo quiere verla.
709,Oliver & Company (1988),Aventura | Animación | Niños | Comedia | Musical,Un gatito perdido y solo se une a una pandilla de perros involucrados en Petty Larceny en la ciudad de Nueva York.
710,Pride Celtic (1996),Comedia,Dos fanáticos celtas demasiado leales secuestran al jugador estrella de su oponente para garantizar a su equipo el campeonato.
711,Flipper (1996),Aventura | Niños,Un adolescente enviado a pasar el verano con su tío excéntrico en la costa de Florida se hace amigo de un delfín notable y asume a los malos chicos locales que están contaminando el agua.
714,MUERTO HOMBRE (1995),Drama | Misterio | Western,"En la carrera después de asesinar a un hombre, el contador William Blake encuentra a un extraño hombre americano aborigen nombrado a nadie que lo prepara para su viaje hacia el mundo espiritual."
715,"Jinete en el techo, el (Hussard sur Le Toit, LE) (1995)",Drama | Romance,"En un momento de guerra y enfermedad, un joven oficial intenta ayudar a una joven a encontrar a su esposo."
718,"Visitantes, The (Visiteurs, Les) (1993)",Comedia | fantasía | ciencia ficción,"Un caballero medieval y su sirviente le piden a un asistente familiar que los envíe a tiempo para prevenir el asesinato accidental del suegro. En su lugar, vuelan al siglo XX."
719,Multiplicidad (1996),Comedia,"Un hombre que nunca tiene tiempo suficiente para las cosas que quiere, se le ofrece la oportunidad de duplicarse."
722,"Mundo encantado de Edward D. Wood Jr., The (1996)",Documental,¿Cómo fue posible que se pueda hacer una película como Vampiros del Espacio (1957)? Este documental sobre la obra maestra de Edward D. Wood Jr. da la respuesta.
724,"Artesanía, el (1996)",Drama | Fantasía | Terror | Thriller,"Un recién llegado a una escuela secundaria de preparación católica cae con un trío de adolescentes marginadas que practican la brujería, y todos ellos pronto evocan varios hechizos y maldiciones contra los que los enojan."
725,"Gran bombo blanco, el (1996)",Comedia,"El promotor del campeón del boxeo piensa, se necesita un cambio. Encuentra al único hombre, que es golpeado su campeón negro (a los 17 años), un hombre blanco ahora en una banda de rock. Como Rocky, entrena fuertemente mientras que los pantalones de Champ."
726,Última danza (1996),Drama,"Un abogado asignado al caso de clemencia de una mujer en el Fila de la Muerte se encuentra formando una amistad profunda con ella, mientras que trata de evitar su inminente ejecución."
728,Frío Comfort Farm (1995),Comedia,"Una mujer joven recientemente huérfana va a vivir con parientes excéntricos en Sussex, donde se pone a mejorar sus vidas sombrías."
731,Los prisioneros del cielo (1996),Crime | Thriller,"Un policía endurecido de Nueva Orleans, Dave Robicheaux, finalmente lanza en la insignia y se establece en la vida en el pantano con su esposa. Pero un accidente de avión extraño lo devuelve de nuevo en la refriega cuando su familia está amenazada viciosamente."
733,"Rock, el (1996)",Acción | Aventura | Thriller,"Un químico de educado y un ex condeviso debe liderar la contraataque cuando un grupo de hombres militares, dirigido por un general renegado, amenazó un ataque de gas nervioso de Alcatraz contra San Francisco."
735,Cementerio hombre (dellamorte dellamore) (1994),Horror,Un cementerio debe matar a los muertos por segunda vez cuando se convierten en zombies.
736,Twister (1996),Acción | Aventura | Romance | Thriller,"Bill y Jo Harding, los cazadores de tormentas avanzados al borde del divorcio, deben unirse para crear un sistema avanzado de alerta meteorológica poniéndose en los pelos cruzados de tornados extremadamente violentos."
737,Barb Wire (1996),Acción | ciencia ficción,"Durante la Segunda Guerra Civil Americana en 2017, Barb Wire posee un club nocturno llamado Hammerhead. Las cosas se complican cuando su ex amante de Axel Hood, que está casada con el fugitivo Corrina Devonshire, reubora su vida."
741,Fantasma en la cáscara (Kã'kaku Kidã'T'TAI) (1995),Animación | ciencia ficción,Una policía de Cyborg y su pareja cazan un pirata informático misterioso y poderoso llamado The Puppet Master.
742,Thinner (1996),Horror | Suspenso,Un abogado obeso está maldicido por un gitano para perder peso rápidamente e incontrolablemente.
743,Espía duro (1996),Comedia,"Dick Steele, Agente WD-40 es asignado por su director, para evitar que el malvado General Rancor destruya el mundo. WD-40 creía que Rancor estaba muerto y se equipara con el Hot K.G.B. Agente Veronique Ukrinsky para encontrar a Rancor y salvar al mundo."
745,Wallace & Gromit: un afeitado cercano (1995),Animación | Niños | Comedia,El romance del torbellino de Wallace con el dueño de la tienda de lana local pone su cabeza en un giro
747,"Estupidos, los (1996)",Comedia,"Una familia increíblemente inteligente, sin saberlo, se tropieza con un trato de armas ilegales mientras está en el camino de su basura ""robada""."
748,"Llegada, la (1996)",Acción | Ciencia ficción | Thriller,"Zane, un astrónomo, descubre la vida extraterrestre inteligente. Pero los extraterrestres están guardando un secreto mortal, y harán cualquier cosa para evitar que Zane lo aprendiera."
750,Dr. Strangelove o: Cómo aprendí a dejar de preocuparte y amar la bomba (1964),Comedia | guerra,Un insano general desencadena un camino hacia el holocausto nuclear que una sala de guerra llena de políticos y generales intenta frenéticamente a detenerse.
757,Cenizas del tiempo (Dung Che Sai Duk) (1994),Drama,Un golpe del golpe de corazón roto se mueve al desierto donde encuentra a los espadachines capacitados para llevar a cabo sus asesinatos por contrato.
759,Maya lin: una visión clara sólida (1994),Documental,Una película sobre el trabajo del artista más famoso por sus monumentos como el Memorial de Vietnam Memorial y el Memorial Fountain Fountain.
760,Stalingrad (1993),Drama | guerra,"La historia sigue a un grupo de soldados alemanes, desde su I & R italiano en el verano de 1942 hasta las estepas congeladas de Rusia soviética y terminan con la batalla por Stalingrado."
761,"Phantom, The (1996)",Acción | aventura,"El fantasma, descendiente de una línea de superhéroes africanos, viaja a la ciudad de Nueva York para frustrar a un genio criminal rico de obtener tres cráneos mágicos que le darían el secreto al máximo poder."
762,Striptease (1996),Comedia | crimen,Una stripper y una madre soltera se arrastran a una situación peligrosa después de que un congresista le da una fantasía.
764,Pesado (1995),Drama | Romance,"La vida de un cook con sobrepeso y infeliz se cambia después de un tipo de abandono universitario, hermoso, se trata de trabajar como una camarera en el restaurante del camino de su madre y su madre."
765,Jack (1996),Comedia | drama,"Debido a un trastorno inusual que lo ha envejecido cuatro veces más rápido que un ser humano típico, un niño parece un hombre de 40 años, ya que comienza el quinto grado en la escuela pública después de estar educado en el hogar."
766,Le disparé a Andy Warhol (1996),Drama,"Esta es la historia de Valerie Solanas, que fue un odio radical radical de los años 60 hacia los hombres en su manifiesto ""Scum"". Escribió un guión para una película que quería Andy Warhol a producir. Después de muchas veces, ignorándola, Valerie le disparó."
773,Touki Bouki (1973),Drama,"Mory, un vaquero, y ANTA, un estudiante universitario, trata de ganar dinero para ir a París y dejar su aburrido pasado."
775,Espíritus de los muertos (1968),Horror | misterio,"Película de antología de tres directores europeos basados ​​en historias de Edgar Allan Poe: una princesa cruel perseguida por un caballo fantasmal, un joven sádico perseguido por su doble, y un actor alcohólico perseguido por el diablo."
778,Trainspotting (1996),Comedia | crimen | drama,"Renton, profundamente inmerso en la escena de las drogas de Edimburgo, trata de limpiar y salir, a pesar del encanto de las drogas e influencia de los amigos."
779,Hasta que hubo usted (1997),Drama | Romance,"Dos extraños, cuyos caminos siempre están cruzando, finalmente se reúnen cuando se pasa el destino."
780,Día de la Independencia (A.K.A. ID4) (1996),Acción | Aventura | Ciencia ficción | Thriller,"Los alienígenas están llegando y su objetivo es invadir y destruir la Tierra. Luchando contra la tecnología superior, la mejor arma de la humanidad es la voluntad de sobrevivir."
781,Robo de belleza (1996),Drama,"Después de que su madre se suicida, una joven viaja a Italia en busca de amor, verdad y una conexión más profunda con ella misma."
782,"Fan, el (1996)",Drama | Suspenso,Un jugador de béisbol de todas las estrellas se convierte en el enfoque poco saludable de un vendedor de suertes.
783,"Hunchback de Notre Dame, The (1996)",Animación | Niños | Drama | Musical | Romance,"Un timbre deformado debe afirmar su independencia de un vicioso ministro del gobierno para ayudar a su amigo, un bailarín gitano."
784,"Cable Guy, The (1996)",Comedia | thriller,"Un tipo de cable solitario y mentalmente perturbado levantado en la televisión solo quiere un nuevo amigo, pero su objetivo, un diseñador, lo rechaza, con malas consecuencias."
785,Kingpin (1996),Comedia,"Un jugador de estrellas de estrella cuya carrera fue prematuramente ""cortada"" espera montar un nuevo prodigio al éxito y las riquezas."
786,Eraser (1996),Acción | drama | thriller,Un especialista en protección de testigos se vuelve sospechoso de sus compañeros de trabajo cuando se trata de un caso que involucra armas de alta tecnología.
788,"Profesor Nutty, el (1996)",Comedia | fantasía | romance | ciencia ficción,"El Profesor de SHERMAN Klump, con sobrepeso, con sobrepeso, Sherman Klump, toma un químico especial que lo convierte en el amor delgado pero odioso de Buddy."
790,"Verano inolvidable, un (ONU Ã © TÃ © Ioubleiable) (1994)",Drama,"Rumania en la década de 1920. Marie-ThÃ © Roches Von Debretsy (Dame Kristin Scott Thomas) rechaza los avances del oficial al mando de su marido. Como resultado, la familia cosmopolita se reasigna a ..."
795,Alguien a quien amar (1994),Drama,"Mercedes es un bailarín de taxi que quiere ser una actriz. Ella está involucrada con la casada de Harry, que se considera un actor respetado. Ernesto está enamorado de Mercedes, pero no baila ni tiene dinero."
798,Luz del día (1996),Acción | Aventura | Drama | Thriller,El desastre en un túnel de Nueva York como explosiones colapsan ambos extremos. Un héroe trata de ayudar a las personas adentro a encontrar su camino hacia la seguridad.
799,"Asustadores, los (1996)",Comedia | horror | thriller,"Después de un trágico accidente automovilístico que mata a su esposa, un hombre descubre que puede comunicarse con los muertos a las personas. Sin embargo, cuando aparece un espíritu demoníaco, puede ser el único que puede detenerlo de matar a los vivos y los muertos."
800,Lone STAR (1996),Drama | Misterio | Western,"Cuando se encuentra el esqueleto de su predecesor asesinado, el Sheriff Sam Deeds se desentierra muchos otros secretos enterrados de largo en su ciudad fronteriza de Texas."
801,Harriet el espía (1996),Niños | Comedia,"Harriet M. Welsch es un espía. Pero cuando sus amigos encuentran su cuaderno secreto, las mesas se encienden. ¿Puede ella volver a ganar a sus amigos y seguir adelante con el negocio de espías?"
802,Fenómeno (1996),Drama | Romance,"Un hombre ordinario ve una luz brillante que desciende desde el cielo, y descubre que ahora tiene super-inteligencia y telekinesis."
803,Caminando y hablando (1996),Comedia | drama | romance,"Así como Amelia piensa que está sobre su ansiedad e inseguridad, su mejor amiga anuncia su compromiso, trayendo su ansiedad e inseguridad de vuelta."
804,Ella es la única (1996),Comedia | romance,"El amor vive de dos hermanos, Mickey y Francis, interconectualmente, ya que Francis se engaña a su esposa con la ex novia de Mickey, mientras que Mickey se casa con un extraño."
805,"Tiempo para matar, A (1996)",Drama | Suspenso,"En Canton, Mississippi, un joven abogado y asistente, y su asistente defienden a un hombre negro acusado de asesinar a dos hombres blancos que violaron a su hija de diez años, incitando a la retribución violenta y venganza del Ku Klux Klan."
806,Buffalo americano (1996),Crimen | drama,Los sentimientos de amargura y traición reprimidos largos explotan cuando tres perdedores de la ciudad interna trazan el robo de una moneda valiosa en una tienda de basura de segunda mano.
808,Alaska (1996),Aventura | Niños,"Mientras buscaba a su padre desaparecido en las montañas de Alaska, dos hermanos se encuentran con un oso polar para bebés en la carrera de un par de cazadores furtivos."
809,Huido (1996),Acción | aventura,Dos prisioneros encadenados juntos huyen durante un intento de escape que se fue mal.
810,Kazaam (1996),Niños | Comedia | Fantasía,"Un niño con problemas libera inadvertidamente un genio, que debe otorgarle tres deseos que solicite."
813,Más grande que la vida (1996),Comedia,Un orador motivacional descubre que la herencia que su padre le fue para él está en forma de un elefante.
818,"Muy brady secuela, A (1996)",Comedia,"Los Bradys se sorprenden cuando un hombre que dice que el primer marido perdido perdido de Carol aparece en su casa. En poco tiempo, sus extrañas acciones hacen que cuestionen sus motivos."
823,"Coleccionista, el (La Colección) (1967)",Drama,"Un distribuidor de arte femenino y un pintor encuentra la serenidad de sus vacaciones de Riviera perturbadas por un tercer invitado, una mujer bohemia vivaz conocida por su larga lista de conquistas masculinas."
824,Kaspar Hauser (1993),Drama | Misterio,"Kaspar Hauser es el hijo del duque de Baden. A la edad de uno, fue intercambiado por otro bebé que ha sido asesinado justo después del cambio. El verdadero Kaspar Hauser creció en la cárcel sin ..."
828,"Aventuras de Pinocho, The (1996)",Aventura | Niños,"Una de las creaciones de Geppetto del fabricante de títeres viene mágicamente a la vida. Este títere llamado Pinocho tiene un deseo importante, para convertirse en un verdadero niño algún día, pero tiene que aprender a actuar de manera responsable."
829,Joe's Apartment (1996),Comedia | fantasía | musical,"Un buen chico acaba de mudarse a Nueva York y descubre que debe compartir su apartamento deteriorado con un par de miles de cucas, bailando cucarachas."
830,"Primera Wives Club, The (1996)",Comedia,"Reunido por la muerte de un amigo universitario, tres mujeres divorciadas buscan vengarse de los esposos que los dejaron a las mujeres más jóvenes."
832,Ransom (1996),Crime | Thriller,"El hijo de Tom Mullen de Multi-Millonario, es secuestrado, pero después de aceptar inicialmente pagar el Ransom Mullen, luego decide usar el dinero de rescate como una recompensa."
833,High School High (1996),Comedia,"Richard Clark acaba de dejar a la conocida academia de Wellington para enseñar en Marion Barry High School. Ahora, intentará inspirar a los estudiantes promedio de D para hacer buenas calificaciones e intentarlo para un compañero maestro."
835,FOXFIRE (1996),Drama,"Piernas Sadovsky obtiene otras cuatro chicas de secundaria para pensar por sí mismas y reaccionar ante el acoso sexual de un maestro, lo que los hace suspendidos. Se unen y se rebelan, en una casa abandonada."
836,Reacción en cadena (1996),Acción | Aventura | Thriller,Dos investigadores en un proyecto de energía alternativa verde se ponen en la carrera cuando están enmarcados por asesinato y traición.
837,Matilda (1996),Niños | Comedia | Fantasía,"Esta adaptación de cine de un trabajo de Roald Dahl cuenta la historia de Matilda Wormwood, una niña dotada obligada a aguantar un padre y una madre más lejanos."
838,EMMA (1996),Comedia | drama | romance,"Mientras Matchmaking para amigos y vecinos, una joven ingersa del siglo XIX casi extraña su propia oportunidad en el amor."
839,"Cuervo: Ciudad de los ángeles, los (1996)",Acción | Thriller,El espíritu del cuervo resucita a otro hombre que busca venganza por el asesinato de su hijo.
840,Arresto domiciliario (1996),Niños | Comedia,"Un grupo de niños, desesperado por mantener a sus diversos padres recibir divorcios, secuestrarlos y mantenerlos prisioneros en un sótano para obligarlos a reconciliarse."
841,"Ojos sin cara (YEUX SANS VISAPE, LES) (1959)",Horror,"Un cirujano causa un accidente que deja a su hija desfigurada, y va a los extremos para darle una nueva cara."
842,Cuentos de los regalos de la cripta: Bordello de Blood (1996),Comedia | horror,El guardián de la cripta regresa para contar la historia de un salón funerario que la luna se ilume como un vampiro Bordello.
848,"Spitfire Grill, The (1996)",Drama,"El Oscar-Winner Ellen Burstyn (el exorcista) titula este drama críticamente alabado sobre una mujer joven, justo fuera de la cárcel, que encuentra una redención espiritual que trabaja en un café en Maine."
849,Escape de L.A. (1996),Acción | Aventura | Ciencia ficción | Thriller,"La serpiente Plissken se le llama una vez más el gobierno de los Estados Unidos para recuperar un dispositivo de Doomstay Potencial de Los Ángeles, ahora una isla autónoma donde los indeseables son deportados."
851,Basquiat (1996),Drama,"La breve vida de Jean Michel Basquiat, un reconocido artista de la calle de Nueva York que lucha con la fama, las drogas y su identidad."
852,TIN CUP (1996),Comedia | drama | romance,Un programa de golf Lavado que trabaja en un campo de prácticas intenta calificar para los Estados Unidos abiertos para ganar el corazón de su exitosa novia del rival.
858,"Padrino, el (1972)",Crimen | drama,Un patriarca de la dinastía del crimen organizada transfiere el control de su imperio clandestino a su hijo reacio.
861,Supercop (Policía Story 3: Supercop) (Jing Cha Gu Shi III: Chao Ji Jing Cha) (1992),Acción | Comedia | Crimen | Thriller,Un detective de Hong Kong se adapta con su contraparte china roja femenina para detener a un zar de la droga china.
866,Bound (1996),Crimen | drama | romance | thriller,Difícil Ex-Con Corky y su amante Violet coinciden con un esquema para robar millones de dinero de la mafia escondido y cubrir la culpa al novio torcido de Violet.
867,Carpool (1996),Comedia | crimen,"Cuando su esposa se enfermo, un padre se encuentra que tiene que compartir a los niños de la escuela del vecindario y ser tomado como rehén por un ladrón de bancos."
869,Kansas City (1996),Crimen | drama | musical | thriller,Un par de secuestros exponen la compleja dinámica de energía dentro del funcionamiento corrupto e impredecible de la ciudad de Kansas de la década de 1930.
870,Ido fishin '(1997),Comedia,Dos amigos de pesca de por vida deben superar una serie de obstáculos para disfrutar de su último viaje de pesca.
875,Nada que perder (1994),Acción | crimen | drama,"Un joven luchador callejero busca venganza contra un poderoso Señor de la droga que mató a toda su familia. Usando sus muchas habilidades especiales de combate, está a punto de derribar toda una operación criminal, alcanzando su objetivo, independientemente de las consecuencias."
876,Supercop 2 (Proyecto S) (CHAO JI JI HUA) (1993),Acción | Comedia | Crimen | Thriller,"Cuando una oleada del crimen se arrastra a través de Hong Kong, la policía pide a Jessica Yang, una estrella en ascenso en sus filas, para ayudar a detener a una notoria pandilla de ladrones."
879,"Reliquia, el (1997)",Horror | Suspenso,"Un detective de homicidios y un antropólogo intentan destruir a un dios de lagarto sudamericano, que está en un pueblo comiendo alboroto en un museo de Chicago."
880,"Isla del Dr. Moreau, The (1996)",Ciencia ficción | Thriller,"Después de ser rescatado y llevado a una isla, un hombre descubre que sus habitantes son animales experimentales que se convierten en humanos de aspecto extraño, todo el trabajo de un médico visionario."
881,First Kid (1996),Niños | Comedia,"Un ex boxeador se le asigna a un agente de servicio secreto para proteger al Hijo del Presidente, que parece decidido a dificultar la vida para su nuevo protector."
882,"Efecto de activación, el (1996)",Drama | Suspenso,"Un apagón deja a los afectados a considerar lo que es necesario, lo que es legal, y lo que es cuestionable, para sobrevivir en un entorno depredador."
885,Bogus (1996),Niños | Drama | Fantasía,"Recientemente, huérfanos, un joven es sorprendido por su madrina que se sorprende a darse cuenta de que puede ver a la amiga imaginaria del niño: un mago extravagante y francés llamado Bogus."
886,Bulletproof (1996),Acción | Comedia | Crimen,"Dos criminales, Keats y Moisés, terminan su amistad, cuando Keats resulta ser un policía encubierto. Muchos años después, los dos se ven obligados a trabajar juntos cuando se asigna a Keats para proteger a Moisés como testigo."
888,Tierra antes del tiempo III: la época de la gran entrega (1995),Aventura | Animación | Niños | Musical,"Cuando una escasez repentina de agua amenaza con toda la vida en el Gran Valle, la pandilla de dinosaurio joven debe cooperar con un grupo de matones para hacer un viaje arriesgado fuera del valle y encontrar la causa."
